focal_offset,intensity_sum,FWHM,DOF,side_lobe_ratio,intensity_peak
0.11346153846153839,813.9625237966677,6.429470800444216,-120.13153038215553,2.4010813532369597,4.998506397384804
0.11538461538461539,1465.6112729514882,0.0,-118.01219769392048,1.5302301077307405,16.719781209892947
0.01346153846153843,29711.452907366125,13.866739077582181,10.92829040548402,0.022323855826237367,1518.7361449457858
0.057692307692307696,19295.152612802605,17.28577006411458,131.4799446221205,0.0,338.43545669451305
0.11538461538461539,2521.808976865237,29.927995438239442,136.43723934747266,0.6305578027069186,52.2917650403489
0.11346153846153839,813.962523796672,6.429470800444271,-120.13153038215553,2.4010813532369206,4.998506397384898
0.11538461538461539,1465.6112729515035,0.0,-118.01219769392048,1.5302301077307248,16.71978120989325
0.01346153846153843,29711.45290736611,13.866739077582185,10.928290405483992,0.022323855826237266,1518.7361449457862
0.057692307692307696,19295.152612802627,17.28577006411455,131.47994462212048,0.0,338.4354566945137
0.11538461538461539,2521.808976865222,29.927995438240238,136.43723934747266,0.630557802706927,52.29176504034834
0.11346153846153839,813.962523796667,6.429470800444214,-120.13153038215553,2.4010813532369357,4.998506397384844
0.11538461538461539,1465.6112729514957,0.0,-118.0121976939205,1.5302301077307303,16.719781209893096
0.01346153846153843,29711.452907366067,13.866739077582181,10.928290405484034,0.02232385582623738,1518.7361449457858
0.057692307692307696,19295.152612802638,17.28577006411455,131.4799446221205,0.0,338.43545669451424
0.11538461538461539,2521.808976865226,29.927995438240288,136.43723934747266,0.6305578027069255,52.29176504034846
